Data de extração; Papel; EvEbit;Posicao EvEbit; Roic; Posicao Roic; PosicaoFinal
2023-04-23;ECOR3;8.89;103;0.0990;101;110;
2023-04-23;FLRY3;10.67;120;0.1163;87;111;
2023-04-23;SMTO3;9.96;112;0.1068;95;112;
2023-04-23;ABEV3;14.25;150;0.1546;58;113;
2023-04-23;MRFG3;7.03;81;0.0698;129;114;
2023-04-23;HYPE3;12.28;135;0.1203;81;115;
2023-04-23;SBSP3;10.54;118;0.0866;105;116;
2023-04-23;AERI3;9.67;110;0.0798;114;117;
2023-04-23;LAVV3;7.16;85;0.0607;140;118;
2023-04-23;VVEO3;11.06;125;0.0949;103;119;
2023-04-23;PORT3;12.18;133;0.1058;96;120;
2023-04-23;PGMN3;7.04;82;0.0543;148;121;
2023-04-23;ARZZ3;15.53;157;0.1322;74;122;
2023-04-23;ANIM3;8.25;98;0.0679;133;123;
2023-04-23;TIMS3;9.56;108;0.0732;124;124;
2023-04-23;ALPA4;10.16;115;0.0754;119;125;
2023-04-23;MATD3;10.84;122;0.0802;113;126;
2023-04-23;RRRP3;10.55;119;0.0795;116;127;
2023-04-23;KRSA3;9.16;105;0.0698;130;128;
2023-04-23;TPIS3;9.16;104;0.0683;132;129;
2023-04-23;EMBR3;8.40;100;0.0635;136;130;
2023-04-23;LOGN3;15.35;155;0.1201;83;131;
2023-04-23;MULT3;14.79;154;0.1187;84;132;
2023-04-23;ARML3;16.71;161;0.1277;78;133;
2023-04-23;PCAR3;6.24;69;0.0272;174;134;
2023-04-23;RADL3;25.27;178;0.1404;68;135;
2023-04-23;SBFG3;9.58;109;0.0622;137;136;
2023-04-23;YDUQ3;11.20;127;0.0735;121;137;
2023-04-23;AZUL4;15.36;156;0.1096;93;138;
2023-04-23;CAML3;11.25;128;0.0720;127;139;
2023-04-23;LJQQ3;7.96;92;0.0377;164;140;
2023-04-23;AMAR3;10.49;117;0.0598;143;141;
2023-04-23;SYNE3;8.45;101;0.0380;163;142;
2023-04-23;RDOR3;13.02;140;0.0696;131;143;
2023-04-23;CEAB3;8.12;95;0.0268;176;144;
2023-04-23;ONCO3;14.12;148;0.0723;125;145;
2023-04-23;POMO4;12.68;138;0.0637;135;146;
2023-04-23;COGN3;10.00;113;0.0416;161;147;
2023-04-23;RENT3;18.59;167;0.0834;108;148;
2023-04-23;MDIA3;14.78;153;0.0735;122;149;
2023-04-23;PETZ3;13.87;146;0.0650;134;150;
2023-04-23;IGTI11;15.60;159;0.0735;123;151;
2023-04-23;CYRE3;12.06;132;0.0494;151;152;
2023-04-23;GRND3;21.08;172;0.0798;115;153;
2023-04-23;ELMD3;19.49;169;0.0764;118;154;
2023-04-23;ALSO3;13.79;145;0.0599;142;155;
2023-04-23;ESPA3;11.79;130;0.0442;158;156;
2023-04-23;CSAN3;12.57;137;0.0490;152;157;
2023-04-23;AMER3;10.95;123;0.0361;166;158;
2023-04-23;RAIL3;17.30;162;0.0700;128;159;
2023-04-23;SOMA3;13.33;144;0.0571;146;160;
2023-04-23;VIVT3;14.07;147;0.0551;147;161;
2023-04-23;JALL3;14.60;151;0.0587;145;162;
2023-04-23;TRIS3;13.11;141;0.0421;159;163;
2023-04-23;PNVL3;17.76;164;0.0611;139;164;
2023-04-23;AGRO3;17.30;163;0.0604;141;165;
2023-04-23;DASA3;14.62;152;0.0420;160;166;
2023-04-23;MTRE3;13.11;142;0.0272;175;167;
2023-04-23;HBSA3;19.51;170;0.0536;149;168;
2023-04-23;SCAR3;17.77;165;0.0449;156;169;
2023-04-23;JPSA3;20.35;171;0.0456;154;170;
2023-04-23;GUAR3;14.16;149;0.0227;177;171;
2023-04-23;MGLU3;22.90;175;0.0456;155;172;
2023-04-23;ZAMP3;16.35;160;0.0298;171;173;
2023-04-23;SQIA3;24.35;176;0.0449;157;174;
2023-04-23;RAIZ4;21.61;173;0.0406;162;175;
2023-04-23;EZTC3;18.23;166;0.0325;169;176;
2023-04-23;OPCT3;21.81;174;0.0359;167;177;
2023-04-23;LOGG3;18.97;168;0.0281;173;178;
2023-04-23;CRPG5;27.26;179;0.0312;170;179;
2023-04-23;GOLL4;35.60;183;0.0282;172;180;
2023-04-23;NTCO3;24.46;177;0.0219;178;181;
2023-04-23;HBOR3;27.70;180;0.0133;181;182;
2023-04-23;LWSA3;35.39;182;0.0155;180;183;
2023-04-23;ORVR3;93.93;186;0.0215;179;184;
2023-04-23;BRFS3;50.99;185;0.0122;182;185;
2023-04-23;NGRD3;49.90;184;0.0072;184;186;
2023-04-23;VSTE3;172.78;187;0.0084;183;187;
2023-04-23;RCSL3;1163.72;189;0.0024;185;188;
2023-04-23;MRVE3;302.23;188;0.0016;186;189;
